1,C.C.,307244157,Tito,Vaca,CALLE 18 NO.7-49 Apto 204,2,Tito_Vaca_1976@gmail.com,1976-02-11,Masculino,Soltero
2,C.C.,1097948291,Estefania,Montalbán,Cl 75 # 2-118 Casa #7,2,Estefania_Montalbán_1976@msn.com,1976-08-07,Femenino,Casado
3,C.C.,382241732,Zoraida,Peraza,CARRERA 68 N° 75A-50,4,Zoraida_Peraza_1972@terra.com,1972-08-13,Femenino,Unión Libre
4,C.C.,966043739,Marco,Arciniega,CALLE 28 NO. 13A-15  38-42,2,Marco_Arciniega_1973@hotmail.com,1973-01-27,Masculino,Unión Libre
5,C.C.,179695539,Agustín,Celaya,Cl 2 # 4-11 Casa #10,4,Agustín_Celaya_1975@terra.com,1975-05-28,Masculino,Soltero
6,C.C.,347377903,Reynaldo,Piñeiro,Cr 29 # 7-29 Casa #18,2,Reynaldo_Piñeiro_1987@yahoo.com,1987-01-08,Masculino,Divorciado
7,C.E.,78952810,Ursula,Vaca,Cr 40 # 14B-21 Casa #15,4,Ursula_Vaca_1991@yahoo.com,1991-03-30,Femenino,Soltero
8,C.C.,619691604,Yael,Coca,CALLE 185 # 45-03  Apto 354,3,Yael_Coca_1982@terra.com,1982-03-02,Femenino,Soltero
9,C.C.,267620290,Anielka,Oñate,Cl 33C # 22-02 Casa #7,3,Anielka_Oñate_1985@yahoo.com,1985-04-25,Femenino,Viudo
10,C.C.,511732343,Lizbeth,Benítez,AvCl 134 55-30 L-105 Casa #11,5,Lizbeth_Benítez_1973@hotmail.com,1973-01-27,Femenino,Soltero
11,C.C.,25716137,Daniela,Pons,CARRERA 8 N° 106-33  Apto 318,3,Daniela_Pons_1979@latinmail.com,1979-09-28,Femenino,Soltero
12,C.C.,530444602,Nagore,Pollan,Cl 54 # 41E-3 57 Casa #14,3,Nagore_Pollan_1974@hotmail.com,1974-05-30,Femenino,Soltero
13,C.C.,1064500956,Ulises,Sáez,Dg 23Tr # 30-35 Casa #16,3,Ulises_Sáez_1973@live.com,1973-04-28,Masculino,Soltero
14,C.C.,701084089,Enzo,Blasco,Cr 47 # 76-48 Casa #16,3,Enzo_Blasco_1970@terra.com,1970-05-29,Masculino,Soltero
15,C.C.,853725738,Wilbert,Paredes,Cr 42 # 85-117 Autopista Sur Itaguí Casa #10,2,Wilbert_Paredes_1970@yahoo.com,1970-04-24,Masculino,Soltero
16,C.C.,347165315,Grace,Magaña,CR7 7-07 JAMUNDÍ,3,Grace_Magaña_1974@hotmail.com,1974-02-13,Femenino,Unión Libre
17,C.C.,410323973,Cora,Mesa,CARRERA 50 NO. 52 - 50  10 Apto 296,3,Cora_Mesa_1974@msn.com,1974-12-11,Femenino,Soltero
18,C.C.,148034041,Anielka,Pazos,CARRERA 7 N° 11-72 Y CALLE 12 N° 6-45 Apto 36,2,Anielka_Pazos_1991@msn.com,1991-12-06,Femenino,Casado
19,C.C.,946399014,Leyre,Navío,CALLE .36 NO. 7-47   14 Apto 135,4,Leyre_Navío_1988@aol.com,1988-04-24,Femenino,Soltero
20,C.E.,558018508,Pablo,Portilla,Cr 70 # 12-55 Casa #3,2,Pablo_Portilla_1989@msn.com,1989-08-16,Masculino,Soltero
21,C.C.,373363417,Andrea,Centeno,Av 15 # 110-91 Casa #19,5,Andrea_Centeno_1972@terra.com,1972-06-14,Femenino,Unión Libre
22,C.C.,819940853,Ian,Zabaleta,TRANSVERSAL 17 N° 120-22 P 1 ,3,Ian_Zabaleta_1990@yahoo.com,1998-05-15,Masculino,Casado
23,C.E.,229638047,Ronald,Fuentes,CARRERA 28 CALLE 147  Apto 317,3,Ronald_Fuentes_1986@aol.com,1986-02-04,Masculino,Soltero
24,C.C.,886173280,Karime,Urriola,Cr 53D Oe # 12C-47 Casa #11,3,Karime_Urriola_1977@hotmail.com,1977-10-07,Femenino,Soltero
25,C.C.,165539412,Iratxe,Madariaga,Cl 17 # 3E-45 Miraflores Casa #8,2,Iratxe_Madariaga_1981@msn.com,1981-06-24,Femenino,Viudo
26,C.C.,426111958,Ximun,Sanchez,CARRERA 7 NO. 71-21    A     603 Apto 400,3,Ximun_Sanchez_1979@terra.com,1979-02-16,Masculino,Divorciado
27,C.E.,680254888,Ivana,Naranjo,CL 35 4 B-49,2,Ivana_Naranjo_1987@hotmail.com,1987-09-25,Femenino,Viudo
28,C.C.,495103428,Germán,Wilder,CALLE 73 NO.  10-83  9,3,Germán_Wilder_1972@gmail.com,1972-04-12,Masculino,Casado
29,C.C.,108483090,Alex,Delahoz,Cl 100 # 13-83 Casa #16,3,Alex_Delahoz_1991@aol.com,1991-07-01,Masculino,Soltero
30,C.C.,456562354,Ponce,Weinzettel,Cl 27Sur # 26-24 Casa #19,5,Ponce_Weinzettel_1986@gmail.com,1986-06-06,Masculino,Soltero
31,C.C.,602264575,Xochilt,Farias,Av El Banco # 11-75 Pance Casa #5,3,Xochilt_Farias_1987@msn.com,1987-06-16,Femenino,Soltero
32,C.C.,81777284,Jerónimo,Uranga,Av La María # 69Pance Casa #3,3,Jerónimo_Uranga_1971@hotmail.com,1971-09-30,Masculino,Unión Libre
33,C.C.,834823242,Elizabeth,Olguín,CARRERA 7 NO. 71 - 52  B  16 Apto 236,4,Elizabeth_Olguín_1979@aol.com,1979-05-05,Femenino,Viudo
34,C.C.,390996378,Francisca,Briceño,CALLE 30 A NO. 6 - 38  19 (A.A. 240398) Apto ,2,Francisca_Briceño_1978@msn.com,1978-06-04,Femenino,Soltero
35,C.E.,1129302600,Arturo,Ocampo,Cr 35 # 16-20 Casa #15,3,Arturo_Ocampo_1972@latinmail.com,1972-12-29,Masculino,Divorciado
36,C.C.,538346529,Paola,Urbina,Cl 11 # 128-200 Pance Casa #5,4,Paola_Urbina_1973@live.com,1973-07-22,Femenino,Soltero
37,C.C.,1130723589,Elvira,Saldaña,Cr 28A # 15-33 Casa #3,2,Elvira_Saldaña_1972@msn.com,1972-01-20,Femenino,Soltero
38,C.C.,719758548,Ivette,Buitrago,Cl 109 # 17A-28 Casa #1,2,Ivette_Buitrago_1973@msn.com,1973-12-01,Femenino,Divorciado
39,C.C.,628353004,Gaston,Cameros,CARRERA 64 B NO. 49 A - 30 Apto 68,5,Gaston_Cameros_1974@live.com,1974-08-11,Masculino,Unión Libre
40,C.C.,91943027,Paola,Vanegas,Cl 2A # 47-150 Casa #20,4,Paola_Vanegas_1980@yahoo.com,1980-01-22,Femenino,Soltero
41,C.C.,73343992,Sandra,Mora,Cl 27 # 36-10 Casa #19,3,Sandra_Mora_1975@yahoo.com,1975-05-14,Femenino,Soltero
42,C.C.,48022617,Fabiola,Urízar,Cr 14 # 14-42 Casa #12,2,Fabiola_Urízar_1983@yahoo.com,1983-01-05,Femenino,Casado
43,C.C.,918676756,Rosario,Villa,Cr 59 # 136-95 L- 18 B Casa #15,3,Rosario_Villa_1972@aol.com,1972-08-23,Femenino,Unión Libre
44,C.E.,148937715,Pablo,Trejo,Cr 66 # 34-88 Casa #15,4,Pablo_Trejo_1990@live.com,1990-09-30,Masculino,Soltero
45,C.C.,13494983,Maider,Yeladaky,Cr 23A # 102D-10 Casa #1,3,Maider_Yeladaky_1981@live.com,1981-10-16,Femenino,Soltero
